http://localhost:8080/24kifu/srv/get_kifus;jsessionid=60F4AAF90CC129970DF70A6C5EAE1961?lgname=YamagamiSara&dojo=tokyo&name1=YamagamiSara&name2=&game=All&fromdate=2024-09-30&todate=2024-10-30room,time,startDate,blackR,blackName,result,whiteR,whiteName,handy,moves,endDate,addtional,id
R,15,2024/10/30 21:17,1390,YamagamiSara,ox,1350,Dr.S.A.C,,133,2024/10/30 21:31,,34317549
R,S3,2024/10/30 21:10,1412,YamagamiSara,xo,1268,suesei,,98,2024/10/30 21:16,,34317427
