Title,URL,date
【APEX】本日はのんびりします【VTuber】,https://www.youtube.com/watch?v=m6xt6-_Yu1U,20200305
【夜勤事件】新米アルバイターすみれ【VTuber】,https://www.youtube.com/watch?v=mBZvhdu0vho,20200306
【APEX】修行～ッ！！【VTuber】,https://www.youtube.com/watch?v=27mFE9U1AIE,20200307
【APEX】最近肩こりがヤバイ件【VTuber】,https://www.youtube.com/watch?v=glij7hTZml0,20200308
【APEX】キルポを啜りたい【VTuber】,https://www.youtube.com/watch?v=LYKENGFpJ6o,20200309
【APEX】ウィングマンの呼ぶ声がする【VTuber】,https://www.youtube.com/watch?v=6cqv4HGZnvY,20200311
【APEX】最近このゲームしかしてないので今日もする【VTuber】,https://www.youtube.com/watch?v=JbUgt-QW8pU,20200312
【PUBG】先輩の威厳、見せますか【LVG】,https://www.youtube.com/watch?v=ww_411aR3tQ,20200313
【APEX】かつもくせよ、これがダイヤや【VTuber】,https://www.youtube.com/watch?v=d5JGzGbkPn4,20200315
【Apex】フレンズとあぺ【Vtuber】,https://www.youtube.com/watch?v=CoeaT3yh9EI,20200316
【雑談】とてものんびりお絵描き【ゲリラ】,https://www.youtube.com/watch?v=OSwbqFChVXc,20200316
【 COD:warzone 】やっちゃおっか～【VTuber】,https://www.youtube.com/watch?v=3C9ylIMWHbs,20200318
【APEX】フレンズとあぺる【Vtuber】,https://www.youtube.com/watch?v=8wwM_SnI9to,20200319
【あつ森】#1 銭稼ぎのため、木を揺らす,https://www.youtube.com/watch?v=-FUBhE4u-K0,20200320
【あつ森】#2 実は何をしたらいいのかあまり分かっていない。,https://www.youtube.com/watch?v=83onI9AP8ZI,20200322
【 COD:warzone 】フルパ女子でGO【VTuber】,https://www.youtube.com/watch?v=bQUglQd4Qj4,20200323
【PUBG】ドン勝もチャンピョンも欲しいよね【APEX】,https://www.youtube.com/watch?v=db-uBFcwi7c,20200324
【APEX LEGENDS】ゲリラでゴリラ,https://www.youtube.com/watch?v=H_crTLGXqJo,20200325
【APEX LEGENDS】今日はなんか弾たる気がするよ【VTuber】,https://www.youtube.com/watch?v=mFN2kXQB01c,20200326
